action_id,action_type,actor,archive_url,category,country,date,docket,entity,entity_slug,fetched_at,jurisdiction,lead_source,licence,notes,notice,outcome,regulator_ai_flag,regulator_descriptor,right_of_reply,secondary_url,source_url,state,summary,url,verification
reg-us-az-2026-09-07-arizona-abs-directory,ABS directory register,Arizona Judicial Branch,https://web.archive.org/web/20260907122909/https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,regulator-register,US,2026-09-07,,Arizona Alternative Business Structures Directory,arizona-abs-directory,2026-09-07T13:20:17.932-07:00,us-state,"[""AGENT-BRIEF.md"", ""Wayback Arizona ABS directory""]",quoted-short,Direct azcourts.gov fetch returned a Cloudflare challenge; Wayback directory text was read.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Directory lists entities licensed by the Arizona Supreme Court; reviewed directory text did not verify an AI-described entity for separate inclusion.,False,,open,,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,Arizona,"The Arizona Judicial Branch Alternative Business Structures Directory captured September 7, 2026 lists entities licensed by the Arizona Supreme Court to provide services. The directory text reviewed does not describe an entity as AI, chatbot or software-based, so the row records the register with regulator_ai_flag false rather than individual AI entries.",https://safelegalai.com/regulation/enforcement/reg-us-az-2026-09-07-arizona-abs-directory,fetched-and-read
reg-ca-bc-2026-09-07-lsbc-innovation-sandbox-register,innovation sandbox register page,Law Society of British Columbia,http://web.archive.org/web/20260420030542/https://www.lawsociety.bc.ca/about-us/priorities/innovation-sandbox/about-the-innovation-sandbox/,regulator-register,CA,2026-09-07,,Law Society Innovation Sandbox,lsbc-innovation-sandbox,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""LSBC innovation sandbox page""]",quoted-short,"Approved-participants page was also checked; no participant entry using the exact term AI was found, but several no-action letters describe online or automated platforms.","Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Law Society page describes the innovation sandbox and links to approved participants and no-action letters.,True,"""use of AI and other technologies""",open,,https://www.lawsociety.bc.ca/about-us/priorities/innovation-sandbox/about-the-innovation-sandbox/,British Columbia,"The Law Society of British Columbia’s innovation-sandbox page describes a structured environment for piloting legal advice and assistance by lawyers, organizations and others. The page says proposals may involve people outside traditional legal-service providers or the use of AI and other technologies, with successful proposals receiving no-action letters.",https://safelegalai.com/regulation/enforcement/reg-ca-bc-2026-09-07-lsbc-innovation-sandbox-register,fetched-and-read
reg-us-ut-2026-09-06-utah-olsi-register,authorized entities register,Utah Office of Legal Services Innovation,http://web.archive.org/web/20260731220559/https://utahinnovationoffice.org/authorized-entities/,regulator-register,US,2026-09-06,,Utah legal regulatory sandbox authorized entities,utah-olsi-register,2026-09-07T13:20:17.932-07:00,us-state,"[""AGENT-BRIEF.md"", ""Utah WordPress API authorized-entities page""]",quoted-short,Fetched through the public WordPress REST API; source_url is the rendered register page.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","Register page lists sandbox authorizations, Supreme Court orders and partial Rule 5.4 waivers; page states sandbox sunset is August 14, 2027.",True,"""technology-based services such as AI""",open,,https://utahinnovationoffice.org/authorized-entities/,Utah,"The Utah Office of Legal Services Innovation’s authorized-entities page, modified September 6, 2026, lists sandbox entities, Supreme Court authorization orders and partial Rule 5.4 waivers. The page says provider types include technology-based services such as AI and notes the Utah legal regulatory sandbox sunset date is August 14, 2027.",https://safelegalai.com/regulation/enforcement/reg-us-ut-2026-09-06-utah-olsi-register,fetched-and-read
pol-uk-2026-08-17-sra-ai-warning-notice,AI warning notice,Solicitors Regulation Authority,http://web.archive.org/web/20260907123611/https://www.sra.org.uk/solicitors/guidance/misuse-ai/,policy-statement,GB,2026-08-17,,SRA-regulated firms and solicitors,sra-ai-warning-notice,2026-09-07T13:20:17.932-07:00,uk,"[""SRA Garfield page navigation"", ""SRA AI warning notice""]",quoted-short,Included as a later SRA AI statement; it is sector guidance rather than an authorisation of a named AI firm.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Warning notice applies to regulated firms and solicitors; SRA says it will have regard to the notice when exercising regulatory functions.,True,"""use of Artificial Intelligence (AI) in the provision of legal services""",open,,https://www.sra.org.uk/solicitors/guidance/misuse-ai/,England and Wales,"The Solicitors Regulation Authority publishes a warning notice on misuse of AI on August 17, 2026. It applies to solicitors and firms using AI in legal services, explains risks from hallucinated authorities and confidentiality failures, and says the SRA will consider the notice when exercising regulatory functions.",https://safelegalai.com/regulation/enforcement/pol-uk-2026-08-17-sra-ai-warning-notice,fetched-and-read
pol-us-2026-07-07-ftc-ai-accuracy-policy,proposed policy statement,Federal Trade Commission,http://web.archive.org/web/20260831020131/https://www.federalregister.gov/documents/full_text/text/2026/07/07/2026-13628.txt,policy-statement,US,2026-07-07,File No. P264200,AI system providers,ai-accuracy-policy,2026-09-07T13:20:17.932-07:00,us-federal,"[""AGENT-BRIEF.md"", ""Federal Register API DoNotPay search""]",us-federal-pd,FR Doc. 2026-13628; 91 FR 41638.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","Proposed FTC policy statement on section 5 deception analysis for marketed AI systems; comments due July 31, 2026.",True,"""Policy Statement Concerning the Suppression of Accuracy in Artificial Intelligence Systems""",open,,https://www.federalregister.gov/documents/full_text/text/2026/07/07/2026-13628.txt,,"The Federal Trade Commission publishes a proposed policy statement on suppressing accuracy in AI systems on July 7, 2026. The statement explains section 5 deception principles for marketed AI systems and cites the DoNotPay consent order as an example involving accuracy or efficacy claims for a chatbot promoted as replacing a human lawyer.",https://safelegalai.com/regulation/enforcement/pol-us-2026-07-07-ftc-ai-accuracy-policy,fetched-and-read
dep-uk-2026-06-22-garfield-law-trial-win,first-party court-trial win account,Garfield AI,http://web.archive.org/web/20260817144145/https://www.garfield.law/press/garfield-ai-wins-first-court-trial-with-regulated-ai-lawyer,court-a2j-deployment,GB,2026-06-22,,Garfield AI,garfield-law,2026-09-07T13:20:17.932-07:00,uk,"[""AGENT-BRIEF.md"", ""Garfield first-party press page""]",quoted-short,No court document was located; included because the brief allowed a Garfield first-party page.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","Garfield states its AI-powered regulated firm supported a freelancer who won a small debt claim at Wandsworth County Court on May 14, 2026.",True,"""AI-powered law firm authorised and regulated by the Solicitors Regulation Authority""",open,,https://www.garfield.law/press/garfield-ai-wins-first-court-trial-with-regulated-ai-lawyer,England and Wales,"Garfield AI publishes a first-party account on June 22, 2026 stating that its regulated AI-powered law firm helped a freelancer win a small debt claim at Wandsworth County Court. The page says Garfield prepared pre-action correspondence, court proceedings, witness statements and trial bundles, while a barrister handled advocacy.",https://safelegalai.com/regulation/enforcement/dep-uk-2026-06-22-garfield-law-trial-win,fetched-and-read
dep-us-tx-2026-05-13-lone-star-legal-aid-navi,LSC-funded public legal-information chatbot,Legal Services Corporation,http://web.archive.org/web/20260615163824/https://www.lsc.gov/press-release/texas-legal-services-organization-built-three-ai-chatbots,court-a2j-deployment,US,2026-05-13,,Lone Star Legal Aid Navi chatbot,lone-star-legal-aid-navi,2026-09-07T13:20:17.932-07:00,us-state,"[""AGENT-BRIEF.md"", ""LSC official press release"", ""Lone Star Legal Aid project update""]",quoted-short,"LSLA's own September 4, 2025 update says the TIG-funded NAVI client-facing chatbot was still preparing for rollout; LSC's later page describes the project as built.","Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer","LSC highlights LSLA’s Technology Initiative Grant project; the external Navi chatbot is designed to identify legal problems, refer users and share self-help materials.",True,"""artificial intelligence (AI) chatbots""",open,https://www.lonestarlegal.org/news/2025/09/ai-chatbot-project-update-fall-2025/,https://www.lsc.gov/press-release/texas-legal-services-organization-built-three-ai-chatbots,Texas,"The Legal Services Corporation publishes a May 13, 2026 account of Lone Star Legal Aid’s Technology Initiative Grant project. LSC says LSLA built three artificial-intelligence chatbots, including Navi, an externally facing chatbot designed to help users identify legal problems, provide referrals and share plain-language self-help materials.",https://safelegalai.com/regulation/enforcement/dep-us-tx-2026-05-13-lone-star-legal-aid-navi,fetched-and-read
reg-ca-on-2026-03-06-willful,A2I participating provider listing,Law Society of Ontario,https://web.archive.org/web/20260306174336/https://lso.ca/about-lso/access-to-innovation/participating-providers,sandbox-authorisation,CA,2026-03-06,,Willful,willful,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""Wayback LSO participating-providers page""]",quoted-short,Direct LSO fetch returned a Cloudflare challenge; date is the Wayback capture date because the page did not expose a provider-specific approval date.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed as an A2I participating provider for online will and power-of-attorney document creation.,True,"""uses technological processes""",open,,https://lso.ca/about-lso/access-to-innovation/participating-providers,Ontario,"The Law Society of Ontario lists Willful on the Access to Innovation participating-providers page captured March 6, 2026. The entry describes an online estate-planning platform that uses technological processes to guide Ontario residents through questions and create completed will and power-of-attorney documents based on their information.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2026-03-06-willful,fetched-and-read
reg-ca-on-2026-03-06-pr-coach,A2I participating provider listing,Law Society of Ontario,https://web.archive.org/web/20260306174336/https://lso.ca/about-lso/access-to-innovation/participating-providers,sandbox-authorisation,CA,2026-03-06,,PR Coach,pr-coach,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""Wayback LSO participating-providers page""]",quoted-short,Direct LSO fetch returned a Cloudflare challenge; date is the Wayback capture date because the page did not expose a provider-specific approval date.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed as an A2I participating provider for immigration pathway screening.,True,"""Pathfinder pre-screens applicants""",open,,https://lso.ca/about-lso/access-to-innovation/participating-providers,Ontario,"The Law Society of Ontario lists PR Coach on the Access to Innovation participating-providers page captured March 6, 2026. The entry describes Pathfinder, a tool that pre-screens applicants across Canadian permanent-residency pathways, analyzes eligibility and competitiveness factors, and benchmarks applicants against recent immigration draws.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2026-03-06-pr-coach,fetched-and-read
reg-ca-on-2026-03-06-ownright,A2I participating provider listing,Law Society of Ontario,https://web.archive.org/web/20260306174336/https://lso.ca/about-lso/access-to-innovation/participating-providers,sandbox-authorisation,CA,2026-03-06,,Ownright,ownright,2026-09-07T13:20:17.932-07:00,canada,"[""AGENT-BRIEF.md"", ""Wayback LSO participating-providers page""]",quoted-short,Direct LSO fetch returned a Cloudflare challenge; date is the Wayback capture date because the page did not expose a provider-specific approval date.,"Provided as is, without warranty. Not legal advice. SafeLegalAI (Cognesio LLP) records what courts, regulators, legislatures and vendors' own public pages state; the linked official documents are the record. Names and marks belong to their owners. Anyone named may reply: https://safelegalai.com/report. Full terms: https://safelegalai.com/disclaimer",Listed as an A2I participating provider for digital real-estate closing services.,True,"""digital real estate closing service""",open,,https://lso.ca/about-lso/access-to-innovation/participating-providers,Ontario,"The Law Society of Ontario lists Ownright, formerly Doormat, on the Access to Innovation participating-providers page captured March 6, 2026. The entry describes a digital real-estate closing service in which users verify identification, upload closing documents, interact with an Ownright lawyer, track progress and digitally sign closing documents.",https://safelegalai.com/regulation/enforcement/reg-ca-on-2026-03-06-ownright,fetched-and-read
